year,time_period,time_identifier,geographic_level,country_code,country_name,data_version,subject_name,characteristic_value,perc_astar_grade_achieved,perc_astar_a_grade_achieved,perc_astar_b_grade_achieved,perc_astar_c_grade_achieved,perc_astar_d_grade_achieved,perc_astar_e_grade_achieved,entry_count
2021,202021,Academic year,National,E92000001,England,Final,Drama,Male,16.4,40.5,70.4,92.2,98.6,99.8,2409
2022,202122,Academic year,National,E92000001,England,Revised,Drama,Male,12.6,33,65.3,86.4,96.2,99.1,2448
1996,199596,Academic year,National,E92000001,England,Final,Economics,All students,NA,16,32,50,67,82,20751
1997,199697,Academic year,National,E92000001,England,Final,Economics,All students,NA,16,33,52,70,84,19384
1998,199798,Academic year,National,E92000001,England,Final,Economics,All students,NA,18,36,56,73,85,18150
1999,199899,Academic year,National,E92000001,England,Final,Economics,All students,NA,19,38,57,75,88,18299
2000,199900,Academic year,National,E92000001,England,Final,Economics,All students,NA,21,40,59,76,89,17284
2001,200001,Academic year,National,E92000001,England,Final,Economics,All students,NA,22,41,62,79,90,16928
2002,200102,Academic year,National,E92000001,England,Final,Economics,All students,NA,28,53,74,88,97,13369
2003,200203,Academic year,National,E92000001,England,Final,Economics,All students,NA,32,58,78,92,98,13317
2004,200304,Academic year,National,E92000001,England,Final,Economics,All students,NA,33,60,80,92,98,13408
2005,200405,Academic year,National,E92000001,England,Final,Economics,All students,NA,34,62,82,94,99,13419
2006,200506,Academic year,National,E92000001,England,Final,Economics,All students,NA,36,63,82,94,99,13578
2007,200607,Academic year,National,E92000001,England,Final,Economics,All students,NA,36,64,83,94,99,13950
2008,200708,Academic year,National,E92000001,England,Final,Economics,All students,NA,38,65,84,95,99,15358
2009,200809,Academic year,National,E92000001,England,Final,Economics,All students,NA,38,66,85,95,99,17696
2010,200910,Academic year,National,E92000001,England,Final,Economics,All students,9,38,66,85,95,99,20314
2011,201011,Academic year,National,E92000001,England,Final,Economics,All students,9,38,66,85,95,99,20819
2012,201112,Academic year,National,E92000001,England,Final,Economics,All students,9,36,65,84,95,99,21238
2013,201213,Academic year,National,E92000001,England,Final,Economics,All students,8,34,64,84,95,99,23117
2014,201314,Academic year,National,E92000001,England,Final,Economics,All students,10,34,62,82,94,99,22884
2015,201415,Academic year,National,E92000001,England,Final,Economics,All students,9,32,61,83,94,99,26204
2016,201516,Academic year,National,E92000001,England,Final,Economics,All students,8,31,62,83,94,99,27569
2017,201617,Academic year,National,E92000001,England,Final,Economics,All students,8,32,61,84,95,98,28621
2018,201718,Academic year,National,E92000001,England,Revised,Economics,All students,7.7,31.2,60.3,82.1,93.9,98.3,29505
2019,201819,Academic year,National,E92000001,England,Revised,Economics,All students,7.1,29.8,58.4,81.2,93.7,98.2,29432
2020,201920,Academic year,National,E92000001,England,Final,Economics,All students,13.6,41.5,70.3,90.8,97.9,99.8,30148
2021,202021,Academic year,National,E92000001,England,Final,Economics,All students,18.6,46.7,73.2,90.4,97.2,99.5,32148
2022,202122,Academic year,National,E92000001,England,Revised,Economics,All students,14.2,39.1,67.2,86.1,95.3,98.6,35257
1996,199596,Academic year,National,E92000001,England,Final,Economics,Female,NA,14,30,48,65,80,7070
1997,199697,Academic year,National,E92000001,England,Final,Economics,Female,NA,16,33,51,69,83,6712
1998,199798,Academic year,National,E92000001,England,Final,Economics,Female,NA,18,36,56,72,85,6457
1999,199899,Academic year,National,E92000001,England,Final,Economics,Female,NA,18,36,56,74,87,6515
2000,199900,Academic year,National,E92000001,England,Final,Economics,Female,NA,22,40,58,76,89,5934
2001,200001,Academic year,National,E92000001,England,Final,Economics,Female,NA,22,41,61,78,90,5698
2002,200102,Academic year,National,E92000001,England,Final,Economics,Female,NA,32,56,76,89,97,4023
2003,200203,Academic year,National,E92000001,England,Final,Economics,Female,NA,36,62,81,93,98,3935
2004,200304,Academic year,National,E92000001,England,Final,Economics,Female,NA,37,64,83,94,98,3896
2005,200405,Academic year,National,E92000001,England,Final,Economics,Female,NA,40,67,85,95,99,3953
2006,200506,Academic year,National,E92000001,England,Final,Economics,Female,NA,39,66,85,96,99,4068
2007,200607,Academic year,National,E92000001,England,Final,Economics,Female,NA,41,68,86,95,99,4239
2008,200708,Academic year,National,E92000001,England,Final,Economics,Female,NA,41,68,86,95,99,4717
2009,200809,Academic year,National,E92000001,England,Final,Economics,Female,NA,44,69,87,96,99,5463
2010,200910,Academic year,National,E92000001,England,Final,Economics,Female,11,42,71,88,96,99,6307
2011,201011,Academic year,National,E92000001,England,Final,Economics,Female,11,42,70,87,96,99,6413
2012,201112,Academic year,National,E92000001,England,Final,Economics,Female,11,41,69,86,95,99,6779
2013,201213,Academic year,National,E92000001,England,Final,Economics,Female,9,38,68,86,96,99,7404
2014,201314,Academic year,National,E92000001,England,Final,Economics,Female,11,37,64,84,94,99,7226
2015,201415,Academic year,National,E92000001,England,Final,Economics,Female,10,36,65,85,95,99,8515
2016,201516,Academic year,National,E92000001,England,Final,Economics,Female,9,35,65,86,95,99,8885
2017,201617,Academic year,National,E92000001,England,Final,Economics,Female,9,35,64,85,95,99,8940
2018,201718,Academic year,National,E92000001,England,Revised,Economics,Female,9.2,34.4,62.4,83.2,94,98.3,9197
2019,201819,Academic year,National,E92000001,England,Revised,Economics,Female,8.1,32.3,61.5,81.8,93.7,98.2,8812
2020,201920,Academic year,National,E92000001,England,Final,Economics,Female,16.4,47.3,75.5,93,98.6,99.8,9326
2021,202021,Academic year,National,E92000001,England,Final,Economics,Female,23.1,53.2,78.1,92,97.5,99.6,9886
2022,202122,Academic year,National,E92000001,England,Revised,Economics,Female,16.7,42.3,70,87.1,95.6,98.7,10881
1996,199596,Academic year,National,E92000001,England,Final,Economics,Male,NA,16,33,51,68,82,13681
1997,199697,Academic year,National,E92000001,England,Final,Economics,Male,NA,16,33,52,70,84,12672
1998,199798,Academic year,National,E92000001,England,Final,Economics,Male,NA,18,36,55,73,86,11693
1999,199899,Academic year,National,E92000001,England,Final,Economics,Male,NA,20,38,58,76,88,11784
2000,199900,Academic year,National,E92000001,England,Final,Economics,Male,NA,21,40,59,77,89,11350
2001,200001,Academic year,National,E92000001,England,Final,Economics,Male,NA,22,41,62,79,90,11230
2002,200102,Academic year,National,E92000001,England,Final,Economics,Male,NA,26,51,73,88,96,9346
2003,200203,Academic year,National,E92000001,England,Final,Economics,Male,NA,30,56,77,91,98,9382
2004,200304,Academic year,National,E92000001,England,Final,Economics,Male,NA,31,58,78,91,98,9512
2005,200405,Academic year,National,E92000001,England,Final,Economics,Male,NA,32,60,80,93,98,9466
2006,200506,Academic year,National,E92000001,England,Final,Economics,Male,NA,34,61,81,93,99,9510
2007,200607,Academic year,National,E92000001,England,Final,Economics,Male,NA,34,61,82,94,99,9711
2008,200708,Academic year,National,E92000001,England,Final,Economics,Male,NA,36,63,83,95,99,10641
2009,200809,Academic year,National,E92000001,England,Final,Economics,Male,NA,36,64,84,95,99,12233
2010,200910,Academic year,National,E92000001,England,Final,Economics,Male,8,36,64,84,95,99,14007
2011,201011,Academic year,National,E92000001,England,Final,Economics,Male,9,36,64,84,95,99,14406
2012,201112,Academic year,National,E92000001,England,Final,Economics,Male,8,34,62,83,94,99,14459
2013,201213,Academic year,National,E92000001,England,Final,Economics,Male,7,32,61,83,94,99,15713
2014,201314,Academic year,National,E92000001,England,Final,Economics,Male,9,32,60,81,94,99,15658
2015,201415,Academic year,National,E92000001,England,Final,Economics,Male,8,30,60,82,94,99,17689
2016,201516,Academic year,National,E92000001,England,Final,Economics,Male,7,30,60,82,94,99,18684
2017,201617,Academic year,National,E92000001,England,Final,Economics,Male,7,31,60,83,95,98,19681
2018,201718,Academic year,National,E92000001,England,Revised,Economics,Male,7.1,29.7,59.4,81.6,93.8,98.3,20308
2019,201819,Academic year,National,E92000001,England,Revised,Economics,Male,6.7,28.7,57,80.9,93.7,98.2,20620
2020,201920,Academic year,National,E92000001,England,Final,Economics,Male,12.3,38.8,68,89.8,97.6,99.7,20822
2021,202021,Academic year,National,E92000001,England,Final,Economics,Male,16.7,43.8,71,89.7,97,99.5,22262
2022,202122,Academic year,National,E92000001,England,Revised,Economics,Male,13.2,37.6,65.9,85.6,95.1,98.5,24376
2016,201516,Academic year,National,E92000001,England,Final,English language,All students,1,11,40,79,97,100,21176
2017,201617,Academic year,National,E92000001,England,Final,English language,All students,1,10,38,75,94,99,18802
2018,201718,Academic year,National,E92000001,England,Revised,English language,All students,1.6,11.1,39,75.3,94.8,99.1,16141
2019,201819,Academic year,National,E92000001,England,Revised,English language,All students,1.8,11.6,42.9,79.2,96.1,99.3,13601
2020,201920,Academic year,National,E92000001,England,Final,English language,All students,5.1,21.8,54.7,87.2,98.1,99.8,14586
2021,202021,Academic year,National,E92000001,England,Final,English language,All students,7.7,27.5,60.3,87.9,97.1,99.6,14011
2022,202122,Academic year,National,E92000001,England,Revised,English language,All students,6.4,22.9,58.1,85.8,96.7,99.1,14046
2016,201516,Academic year,National,E92000001,England,Final,English language,Female,2,12,43,82,98,100,14635
2017,201617,Academic year,National,E92000001,England,Final,English language,Female,2,11,40,77,95,99,13015
2018,201718,Academic year,National,E92000001,England,Revised,English language,Female,1.8,12,41.2,77.3,95.7,99.2,11086
2019,201819,Academic year,National,E92000001,England,Revised,English language,Female,1.9,12.4,44.9,80.9,96.7,99.4,9781
2020,201920,Academic year,National,E92000001,England,Final,English language,Female,5.5,23.8,57.6,88.9,98.5,99.8,10505
2021,202021,Academic year,National,E92000001,England,Final,English language,Female,8.3,29.7,63.7,89.7,97.8,99.6,10160
2022,202122,Academic year,National,E92000001,England,Revised,English language,Female,6.9,24.6,60.6,87.5,97.2,99.3,10176
2016,201516,Academic year,National,E92000001,England,Final,English language,Male,1,8,34,74,95,100,6541
2017,201617,Academic year,National,E92000001,England,Final,English language,Male,1,8,31,69,92,99,5787
2018,201718,Academic year,National,E92000001,England,Revised,English language,Male,1.1,9.1,34.3,70.7,93,98.9,5055
2019,201819,Academic year,National,E92000001,England,Revised,English language,Male,1.7,9.5,37.9,75.1,94.7,99,3820
2020,201920,Academic year,National,E92000001,England,Final,English language,Male,4,16.7,47.4,82.9,97.2,99.8,4081
2021,202021,Academic year,National,E92000001,England,Final,English language,Male,6,21.6,51.3,83.1,95.4,99.5,3851
2022,202122,Academic year,National,E92000001,England,Revised,English language,Male,5,18.3,51.3,81.4,95.3,98.7,3870
2016,201516,Academic year,National,E92000001,England,Final,English language & literature,All students,3,13,40,77,96,100,11260
2017,201617,Academic year,National,E92000001,England,Final,English language & literature,All students,3,12,40,75,95,99,10203
2018,201718,Academic year,National,E92000001,England,Revised,English language & literature,All students,3,12.7,39.3,73,93.8,99,8760
2019,201819,Academic year,National,E92000001,England,Revised,English language & literature,All students,3.2,12.8,41.8,76.1,95.1,99.1,7385
2020,201920,Academic year,National,E92000001,England,Final,English language & literature,All students,6.8,23.8,56.7,87.1,97.8,99.7,7088
2021,202021,Academic year,National,E92000001,England,Final,English language & literature,All students,11.2,31.1,62.9,88.6,97.7,99.5,7070
2022,202122,Academic year,National,E92000001,England,Revised,English language & literature,All students,9.3,25.7,60.3,86.4,96.3,99,6678
2016,201516,Academic year,National,E92000001,England,Final,English language & literature,Female,3,13,42,78,97,100,8131
2017,201617,Academic year,National,E92000001,England,Final,English language & literature,Female,3,12,41,76,95,99,7351
2018,201718,Academic year,National,E92000001,England,Revised,English language & literature,Female,2.9,13.4,41.2,75,94.7,99.2,6315
2019,201819,Academic year,National,E92000001,England,Revised,English language & literature,Female,3.2,13.6,43.5,77.7,95.7,99.2,5453
2020,201920,Academic year,National,E92000001,England,Final,English language & literature,Female,7,25,58.8,88.6,98.2,99.7,5352
2021,202021,Academic year,National,E92000001,England,Final,English language & literature,Female,11.8,32.6,65,90.1,98.1,99.6,5273
2022,202122,Academic year,National,E92000001,England,Revised,English language & literature,Female,10.1,27,62.4,87.9,96.9,99.2,4949
2016,201516,Academic year,National,E92000001,England,Final,English language & literature,Male,3,11,36,73,95,99,3129
2017,201617,Academic year,National,E92000001,England,Final,English language & literature,Male,3,12,38,71,93,99,2852
2018,201718,Academic year,National,E92000001,England,Revised,English language & literature,Male,3.1,10.9,34.3,67.9,91.3,98.5,2445
2019,201819,Academic year,National,E92000001,England,Revised,English language & literature,Male,3.2,10.7,37.2,71.5,93.4,98.8,1932
2020,201920,Academic year,National,E92000001,England,Final,English language & literature,Male,6,20.1,50.2,82.5,96.5,99.5,1736
2021,202021,Academic year,National,E92000001,England,Final,English language & literature,Male,9.5,26.7,56.8,84.4,96.4,99.3,1797
2022,202122,Academic year,National,E92000001,England,Revised,English language & literature,Male,7.1,22,54.6,82.2,94.6,98.6,1729
2016,201516,Academic year,National,E92000001,England,Final,English literature,All students,9,26,55,84,97,100,43739
2017,201617,Academic year,National,E92000001,England,Final,English literature,All students,9,26,54,81,96,99,42033
2018,201718,Academic year,National,E92000001,England,Revised,English literature,All students,9.1,24.7,53.2,79.9,95,99.2,40267
2019,201819,Academic year,National,E92000001,England,Revised,English literature,All students,9.1,25.3,53.8,80.4,95.3,99.3,36922
2020,201920,Academic year,National,E92000001,England,Final,English literature,All students,15.2,38,68,91,98.6,99.8,37757
2021,202021,Academic year,National,E92000001,England,Final,English literature,All students,20,44.1,72.2,91.8,98.2,99.7,35687
2022,202122,Academic year,National,E92000001,England,Revised,English literature,All students,17.1,37.6,67.7,88.3,97,99.2,32360
2016,201516,Academic year,National,E92000001,England,Final,English literature,Female,8,26,56,84,98,100,32810
2017,201617,Academic year,National,E92000001,England,Final,English literature,Female,9,25,54,81,96,99,31754
2018,201718,Academic year,National,E92000001,England,Revised,English literature,Female,8.8,24.6,53.5,80.3,95.3,99.3,30830
2019,201819,Academic year,National,E92000001,England,Revised,English literature,Female,8.9,25.4,54.3,80.9,95.7,99.4,28654
2020,201920,Academic year,National,E92000001,England,Final,English literature,Female,15.4,38.8,68.9,91.6,98.8,99.8,29217
2021,202021,Academic year,National,E92000001,England,Final,English literature,Female,20.2,45.1,73.6,92.6,98.4,99.7,27629
2022,202122,Academic year,National,E92000001,England,Revised,English literature,Female,17.1,38.1,68.6,88.9,97.3,99.3,24957
2016,201516,Academic year,National,E92000001,England,Final,English literature,Male,10,26,53,82,97,100,10929
2017,201617,Academic year,National,E92000001,England,Final,English literature,Male,10,26,54,80,94,99,10279
2018,201718,Academic year,National,E92000001,England,Revised,English literature,Male,10.1,24.9,52.4,78.3,94.1,98.8,9437
2019,201819,Academic year,National,E92000001,England,Revised,English literature,Male,9.8,24.7,52,78.7,94.1,98.8,8268
2020,201920,Academic year,National,E92000001,England,Final,English literature,Male,14.7,35.3,64.8,89.1,98.1,99.8,8540
2021,202021,Academic year,National,E92000001,England,Final,English literature,Male,19.3,40.8,67.6,88.9,97.6,99.7,8057
2022,202122,Academic year,National,E92000001,England,Revised,English literature,Male,16.8,36.2,64.6,86.4,96,98.9,7403
1996,199596,Academic year,National,E92000001,England,Final,French,All students,NA,21,38,58,75,88,22718
1997,199697,Academic year,National,E92000001,England,Final,French,All students,NA,20,40,60,77,89,21364
1998,199798,Academic year,National,E92000001,England,Final,French,All students,NA,22,43,62,80,92,19629
1999,199899,Academic year,National,E92000001,England,Final,French,All students,NA,23,44,64,80,92,17774
2000,199900,Academic year,National,E92000001,England,Final,French,All students,NA,24,45,65,82,92,15240
2001,200001,Academic year,National,E92000001,England,Final,French,All students,NA,25,45,65,81,92,15393
2002,200102,Academic year,National,E92000001,England,Final,French,All students,NA,29,54,75,89,97,13599
2003,200203,Academic year,National,E92000001,England,Final,French,All students,NA,31,58,78,91,98,12904
2004,200304,Academic year,National,E92000001,England,Final,French,All students,NA,33,60,79,92,98,12480
2005,200405,Academic year,National,E92000001,England,Final,French,All students,NA,33,60,81,93,99,11963
2006,200506,Academic year,National,E92000001,England,Final,French,All students,NA,35,62,82,93,99,12190
2007,200607,Academic year,National,E92000001,England,Final,French,All students,NA,37,65,83,94,99,12152
2008,200708,Academic year,National,E92000001,England,Final,French,All students,NA,38,66,84,95,99,12605
2009,200809,Academic year,National,E92000001,England,Final,French,All students,NA,39,67,85,95,99,12231
2010,200910,Academic year,National,E92000001,England,Final,French,All students,7,40,68,87,96,99,12324
2011,201011,Academic year,National,E92000001,England,Final,French,All students,8,41,71,88,97,99,11490
2012,201112,Academic year,National,E92000001,England,Final,French,All students,7,41,70,88,97,100,10871
2013,201213,Academic year,National,E92000001,England,Final,French,All students,7,40,70,88,97,99,9878
2014,201314,Academic year,National,E92000001,England,Final,French,All students,7,39,68,87,97,100,9078
2015,201415,Academic year,National,E92000001,England,Final,French,All students,9,39,68,86,96,100,8991
2016,201516,Academic year,National,E92000001,England,Final,French,All students,9,39,67,85,95,100,8459
2017,201617,Academic year,National,E92000001,England,Final,French,All students,11,40,67,85,96,99,8306
2018,201718,Academic year,National,E92000001,England,Revised,French,All students,10.3,39.7,66.4,85.3,95.2,98.9,7741
2019,201819,Academic year,National,E92000001,England,Revised,French,All students,10,37,67.1,85.3,94.8,98.7,7504
2020,201920,Academic year,National,E92000001,England,Final,French,All students,20.3,53.9,79.1,93.8,98.8,99.8,7471
2021,202021,Academic year,National,E92000001,England,Final,French,All students,26.5,59.8,82.8,94.8,98.6,99.7,7511
2022,202122,Academic year,National,E92000001,England,Revised,French,All students,20.5,50.9,74.5,89,96.7,99.2,7293
1996,199596,Academic year,National,E92000001,England,Final,French,Female,NA,20,37,57,74,87,15859
1997,199697,Academic year,National,E92000001,England,Final,French,Female,NA,20,40,60,77,89,14951
1998,199798,Academic year,National,E92000001,England,Final,French,Female,NA,21,41,61,78,91,13730
1999,199899,Academic year,National,E92000001,England,Final,French,Female,NA,22,43,63,80,92,12506
2000,199900,Academic year,National,E92000001,England,Final,French,Female,NA,23,44,64,81,92,10784
2001,200001,Academic year,National,E92000001,England,Final,French,Female,NA,24,44,63,80,91,10698
2002,200102,Academic year,National,E92000001,England,Final,French,Female,NA,29,53,75,89,97,9303
2003,200203,Academic year,National,E92000001,England,Final,French,Female,NA,30,57,77,91,98,8709
2004,200304,Academic year,National,E92000001,England,Final,French,Female,NA,33,59,79,92,99,8405
2005,200405,Academic year,National,E92000001,England,Final,French,Female,NA,32,60,80,93,99,8108
2006,200506,Academic year,National,E92000001,England,Final,French,Female,NA,34,61,81,93,99,8293
2007,200607,Academic year,National,E92000001,England,Final,French,Female,NA,36,64,82,94,99,8306
2008,200708,Academic year,National,E92000001,England,Final,French,Female,NA,37,65,84,95,99,8634
2009,200809,Academic year,National,E92000001,England,Final,French,Female,NA,38,66,84,95,99,8271
2010,200910,Academic year,National,E92000001,England,Final,French,Female,8,39,68,86,96,99,8436
2011,201011,Academic year,National,E92000001,England,Final,French,Female,8,40,70,88,96,99,7937
2012,201112,Academic year,National,E92000001,England,Final,French,Female,7,41,70,88,96,100,7467
2013,201213,Academic year,National,E92000001,England,Final,French,Female,6,39,69,87,97,100,6772
2014,201314,Academic year,National,E92000001,England,Final,French,Female,7,39,68,87,97,100,6167
2015,201415,Academic year,National,E92000001,England,Final,French,Female,8,38,68,86,96,100,6226
2016,201516,Academic year,National,E92000001,England,Final,French,Female,9,38,66,85,95,100,5729
2017,201617,Academic year,National,E92000001,England,Final,French,Female,10,40,66,85,96,99,5753
2018,201718,Academic year,National,E92000001,England,Revised,French,Female,9.7,39.2,65.4,84.5,95.2,98.9,5406
2019,201819,Academic year,National,E92000001,England,Revised,French,Female,10.1,36.8,66.7,85.5,94.8,98.7,5251
2020,201920,Academic year,National,E92000001,England,Final,French,Female,19.9,54,79.4,94.1,98.8,99.8,5348
2021,202021,Academic year,National,E92000001,England,Final,French,Female,25.9,60.2,83.5,95.1,98.7,99.7,5372
2022,202122,Academic year,National,E92000001,England,Revised,French,Female,19.4,50,73.7,88.7,96.7,99.2,5152
1996,199596,Academic year,National,E92000001,England,Final,French,Male,NA,22,40,60,77,90,6859
1997,199697,Academic year,National,E92000001,England,Final,French,Male,NA,22,42,61,78,90,6413
1998,199798,Academic year,National,E92000001,England,Final,French,Male,NA,25,46,66,83,93,5899
1999,199899,Academic year,National,E92000001,England,Final,French,Male,NA,26,46,66,82,92,5268
2000,199900,Academic year,National,E92000001,England,Final,French,Male,NA,26,48,68,83,93,4456
2001,200001,Academic year,National,E92000001,England,Final,French,Male,NA,27,49,68,84,93,4695
2002,200102,Academic year,National,E92000001,England,Final,French,Male,NA,31,56,76,90,97,4296
2003,200203,Academic year,National,E92000001,England,Final,French,Male,NA,34,60,79,91,98,4195
2004,200304,Academic year,National,E92000001,England,Final,French,Male,NA,34,61,80,92,98,4075
2005,200405,Academic year,National,E92000001,England,Final,French,Male,NA,35,62,81,93,99,3855
2006,200506,Academic year,National,E92000001,England,Final,French,Male,NA,37,64,82,94,99,3897
2007,200607,Academic year,National,E92000001,England,Final,French,Male,NA,39,67,84,95,99,3846
2008,200708,Academic year,National,E92000001,England,Final,French,Male,NA,40,67,85,95,99,3971
2009,200809,Academic year,National,E92000001,England,Final,French,Male,NA,41,69,86,96,100,3960
2010,200910,Academic year,National,E92000001,England,Final,French,Male,7,40,69,87,96,99,3888
2011,201011,Academic year,National,E92000001,England,Final,French,Male,9,44,71,89,97,99,3553
2012,201112,Academic year,National,E92000001,England,Final,French,Male,7,42,71,89,97,100,3404
2013,201213,Academic year,National,E92000001,England,Final,French,Male,7,43,72,88,97,99,3106
2014,201314,Academic year,National,E92000001,England,Final,French,Male,7,40,69,87,97,100,2911
2015,201415,Academic year,National,E92000001,England,Final,French,Male,10,40,68,86,96,100,2765
2016,201516,Academic year,National,E92000001,England,Final,French,Male,10,42,68,86,96,100,2730
2017,201617,Academic year,National,E92000001,England,Final,French,Male,12,42,68,87,96,100,2553
2018,201718,Academic year,National,E92000001,England,Revised,French,Male,11.7,40.9,69,87,95.4,98.8,2335
2019,201819,Academic year,National,E92000001,England,Revised,French,Male,9.8,37.5,68.3,85.1,94.7,98.8,2253
2020,201920,Academic year,National,E92000001,England,Final,French,Male,21.4,53.5,78.1,93,98.7,99.8,2123
2021,202021,Academic year,National,E92000001,England,Final,French,Male,28,59,80.8,94.1,98.4,99.7,2139
2022,202122,Academic year,National,E92000001,England,Revised,French,Male,23,53.1,76.5,89.8,96.8,99.3,2140
1996,199596,Academic year,National,E92000001,England,Final,Further mathematics,All students,NA,46,67,81,90,95,4913
1997,199697,Academic year,National,E92000001,England,Final,Further mathematics,All students,NA,47,68,82,91,96,4999
1998,199798,Academic year,National,E92000001,England,Final,Further mathematics,All students,NA,49,69,82,91,96,5211
1999,199899,Academic year,National,E92000001,England,Final,Further mathematics,All students,NA,49,69,82,90,95,5145
2000,199900,Academic year,National,E92000001,England,Final,Further mathematics,All students,NA,50,69,82,91,96,5015
2001,200001,Academic year,National,E92000001,England,Final,Further mathematics,All students,NA,51,70,82,91,96,5063
2002,200102,Academic year,National,E92000001,England,Final,Further mathematics,All students,NA,63,79,89,94,98,4498
2003,200203,Academic year,National,E92000001,England,Final,Further mathematics,All students,NA,61,77,87,94,98,4730
2004,200304,Academic year,National,E92000001,England,Final,Further mathematics,All students,NA,59,76,87,94,98,5111
2005,200405,Academic year,National,E92000001,England,Final,Further mathematics,All students,NA,59,77,88,94,98,5192
2006,200506,Academic year,National,E92000001,England,Final,Further mathematics,All students,NA,58,77,89,95,99,6516
2007,200607,Academic year,National,E92000001,England,Final,Further mathematics,All students,NA,57,77,89,95,99,7241
2008,200708,Academic year,National,E92000001,England,Final,Further mathematics,All students,NA,58,79,90,96,99,8447
2009,200809,Academic year,National,E92000001,England,Final,Further mathematics,All students,NA,59,79,90,96,99,9443
2010,200910,Academic year,National,E92000001,England,Final,Further mathematics,All students,29,59,80,91,96,99,10813
2011,201011,Academic year,National,E92000001,England,Final,Further mathematics,All students,28,59,80,90,96,99,11408
2012,201112,Academic year,National,E92000001,England,Final,Further mathematics,All students,28,58,79,90,96,99,12379
2013,201213,Academic year,National,E92000001,England,Final,Further mathematics,All students,28,58,80,91,97,99,12881
2014,201314,Academic year,National,E92000001,England,Final,Further mathematics,All students,26,58,77,89,96,99,13031
2015,201415,Academic year,National,E92000001,England,Final,Further mathematics,All students,29,58,78,89,96,99,13695
2016,201516,Academic year,National,E92000001,England,Final,Further mathematics,All students,29,58,78,89,96,99,14047
2017,201617,Academic year,National,E92000001,England,Final,Further mathematics,All students,30,59,79,89,96,99,14668
2018,201718,Academic year,National,E92000001,England,Revised,Further mathematics,All students,29,59.1,78.2,89.2,95.6,98.9,14810
2019,201819,Academic year,National,E92000001,England,Revised,Further mathematics,All students,24.9,54,74,86.9,94.6,98.1,13438
2020,201920,Academic year,National,E92000001,England,Final,Further mathematics,All students,41.4,71.8,88.1,96,98.8,99.8,13934
2021,202021,Academic year,National,E92000001,England,Final,Further mathematics,All students,49,75.2,88.4,95.3,98.2,99.5,14565
2022,202122,Academic year,National,E92000001,England,Revised,Further mathematics,All students,40.5,67.8,83.1,92.2,97.1,99,14102
1996,199596,Academic year,National,E92000001,England,Final,Further mathematics,Female,NA,47,68,83,91,96,1231
1997,199697,Academic year,National,E92000001,England,Final,Further mathematics,Female,NA,46,67,83,92,97,1243
1998,199798,Academic year,National,E92000001,England,Final,Further mathematics,Female,NA,48,68,82,93,97,1322
1999,199899,Academic year,National,E92000001,England,Final,Further mathematics,Female,NA,51,70,83,91,97,1380
2000,199900,Academic year,National,E92000001,England,Final,Further mathematics,Female,NA,52,70,83,92,96,1495
2001,200001,Academic year,National,E92000001,England,Final,Further mathematics,Female,NA,53,72,84,92,97,1326
2002,200102,Academic year,National,E92000001,England,Final,Further mathematics,Female,NA,66,82,91,96,98,1247
2003,200203,Academic year,National,E92000001,England,Final,Further mathematics,Female,NA,63,81,90,96,99,1308
2004,200304,Academic year,National,E92000001,England,Final,Further mathematics,Female,NA,61,78,88,94,98,1412
2005,200405,Academic year,National,E92000001,England,Final,Further mathematics,Female,NA,61,79,90,95,99,1462
2006,200506,Academic year,National,E92000001,England,Final,Further mathematics,Female,NA,58,78,90,96,99,1921
2007,200607,Academic year,National,E92000001,England,Final,Further mathematics,Female,NA,57,78,89,95,98,2142
2008,200708,Academic year,National,E92000001,England,Final,Further mathematics,Female,NA,59,80,91,96,99,2576
2009,200809,Academic year,National,E92000001,England,Final,Further mathematics,Female,NA,59,80,92,97,99,2950
2010,200910,Academic year,National,E92000001,England,Final,Further mathematics,Female,28,60,80,92,97,99,3444
2011,201011,Academic year,National,E92000001,England,Final,Further mathematics,Female,27,58,80,90,96,99,3589
2012,201112,Academic year,National,E92000001,England,Final,Further mathematics,Female,29,60,81,91,96,98,3747
2013,201213,Academic year,National,E92000001,England,Final,Further mathematics,Female,28,59,80,92,97,99,3691
2014,201314,Academic year,National,E92000001,England,Final,Further mathematics,Female,25,58,78,90,96,99,3719
2015,201415,Academic year,National,E92000001,England,Final,Further mathematics,Female,28,59,79,90,96,99,3818
2016,201516,Academic year,National,E92000001,England,Final,Further mathematics,Female,28,59,79,90,96,99,3863
2017,201617,Academic year,National,E92000001,England,Final,Further mathematics,Female,30,60,79,89,96,99,4052
2018,201718,Academic year,National,E92000001,England,Revised,Further mathematics,Female,28.3,58.9,78,89.4,95.9,98.8,4233
2019,201819,Academic year,National,E92000001,England,Revised,Further mathematics,Female,22,51.3,73.2,86.7,94.1,97.9,3824
2020,201920,Academic year,National,E92000001,England,Final,Further mathematics,Female,41.5,72.9,89.8,96.8,99,99.8,4048
2021,202021,Academic year,National,E92000001,England,Final,Further mathematics,Female,50,76.9,89.3,96,98.5,99.5,4201
2022,202122,Academic year,National,E92000001,England,Revised,Further mathematics,Female,37.7,65.3,82.3,92.6,97.3,99.1,3977
1996,199596,Academic year,National,E92000001,England,Final,Further mathematics,Male,NA,46,67,80,89,95,3682
1997,199697,Academic year,National,E92000001,England,Final,Further mathematics,Male,NA,48,68,82,90,96,3756
