time_period,time_identifier,geographic_level,country_code,country_name,version,school_type,school_type_group,characteristic_gender,number_of_students,aps_per_entry_2016_2022,aps_per_entry_2013_2015,aps_per_entry_grade_2016_2022,aps_per_entry_grade_2013_2015,pc_achieving_atleast_two_alev,entered_for_one_or_more_alev_or_applied,aps_per_entry_best3,aps_per_entry_grade_best3,pc_achieving_3_astar_to_a_alev,pc_achieving_aab_or_better_alev,entered_for_one_or_more_alev,pc_achieving_aab_or_better_atleast_two_facilitating_alev,year,year_2013_2015,year_2016_2022
201920,Academic year,National,E92000001,England,Provisional,Studio schools,State-funded schools,Male,131,33.6028,,C+,,44.275,41,29.1057,C,7.317,14.634,41,12.195,2020,,2020
201920,Academic year,National,E92000001,England,Provisional,University technical colleges (UTCs),State-funded schools,Male,834,33.0651,,C+,,55.156,328,33.3435,C+,14.939,24.695,328,23.476,2020,,2020
201819,Academic year,National,E92000001,England,Provisional,All FE sector colleges,FE sector colleges,All students,66025,31.5806,,C,,74.452,51013,30.1213,C,7.845,14.257,51002,9.527,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,All independent schools,Independent schools,All students,36670,40.9235,,B,,89.422,28708,40.8475,B,26.721,39.623,28708,32.395,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,All schools,All schools,All students,228647,34.2785,,C+,,80.721,174450,34.2692,C+,13.654,22.169,174442,17.71,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,All schools and FE sector colleges,All institutions,All students,289623,33.7653,,C+,,80.658,226301,33.2641,C+,12.296,20.309,226284,15.805,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,All state-funded schools,State-funded schools,All students,191936,32.8988,,C+,,79.066,145721,32.9751,C+,11.081,18.733,145713,14.819,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,All state-funded schools and colleges,All state-funded,All students,253225,32.636,,C+,,79.244,197240,32.1737,C+,10.207,17.515,197223,13.402,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,Converter academies - mainstream,State-funded schools,All students,127246,33.7836,,C+,,81.893,100779,33.676,C+,12.007,20.125,100774,15.843,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,Free schools,State-funded schools,All students,1516,29.5682,,C,,86.016,1347,29.6164,C,6.162,11.878,1347,10.245,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,Free schools 16-19,State-funded schools,All students,3012,37.5736,,B-,,88.181,2632,36.5008,B-,19.567,29.141,2632,25.304,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,Independent schools,Independent schools,All students,36602,40.9405,,B,,89.525,28671,40.8756,B,26.748,39.667,28671,32.43,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,Independent special schools,Independent schools,All students,68,25.1351,,C-,,33.824,37,19.0991,D,5.405,5.405,37,5.405,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,LA maintained mainstream schools,State-funded schools,All students,37893,32.0619,,C+,,77.122,27858,32.3724,C+,9.861,17.115,27855,13.588,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,Other FE sector colleges,FE sector colleges,All students,25143,28.1229,,C-,,65.955,16722,28.2656,C-,5.023,9.843,16713,5.822,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,Sixth form colleges,FE sector colleges,All students,40882,33.5725,,C+,,79.678,34291,31.0262,C,9.221,16.41,34289,11.333,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,Sponsored academies - mainstream,State-funded schools,All students,20172,28.19,,C-,,66.577,12159,28.831,C,5.346,10.149,12159,7.887,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,Studio schools,State-funded schools,All students,354,25.3853,,C-,,37.006,114,21.9006,D+,3.509,4.386,114,3.509,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,University technical colleges (UTCs),State-funded schools,All students,1297,22.9089,,D+,,42.56,548,20.5535,D,4.015,6.387,548,6.204,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,All FE sector colleges,FE sector colleges,Female,38624,32.1905,,C+,,75.728,29978,30.6646,C,7.155,14.104,29969,8.385,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,All independent schools,Independent schools,Female,18187,41.7931,,B+,,91.389,14716,41.8322,B+,27.664,41.941,14716,33.304,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,All schools,All schools,Female,122210,34.8821,,C+,,82.682,95418,34.719,C+,12.869,21.887,95412,16.499,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,All schools and FE sector colleges,All institutions,Female,158250,34.325,,C+,,82.297,125877,33.682,C+,11.461,19.956,125865,14.509,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,All state-funded schools,State-funded schools,Female,104000,33.5605,,C+,,81.166,80686,33.4245,C+,10.173,18.234,80680,13.437,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,All state-funded schools and colleges,All state-funded,Female,140211,33.2624,,C+,,81.001,111029,32.6134,C+,9.325,17.057,111017,12.027,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,Converter academies - mainstream,State-funded schools,Female,69296,34.4215,,C+,,83.758,56005,34.1062,C+,11.133,19.734,56001,14.489,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,Free schools,State-funded schools,Female,750,29.446,,C,,87.467,672,29.6181,C,4.762,10.714,672,8.631,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,Free schools 16-19,State-funded schools,Female,1611,37.677,,B-,,88.579,1399,36.6667,B-,16.726,27.162,1399,22.23,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,Independent schools,Independent schools,Female,18165,41.805,,B+,,91.462,14705,41.8461,B+,27.671,41.959,14705,33.315,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,Independent special schools,Independent schools,Female,22,26.375,,C-,,31.818,11,23.3333,D+,18.182,18.182,11,18.182,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,LA maintained mainstream schools,State-funded schools,Female,20711,32.6541,,C+,,78.997,15415,32.8438,C+,8.887,16.38,15413,12.197,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,Other FE sector colleges,FE sector colleges,Female,15159,28.8803,,C,,67.373,10205,28.7872,C,4.459,9.486,10198,4.57,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,Sixth form colleges,FE sector colleges,Female,23465,34.1918,,C+,,81.125,19773,31.6335,C,8.547,16.487,19771,10.354,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,Sponsored academies - mainstream,State-funded schools,Female,10870,29.1085,,C,,69.623,6828,29.2936,C,4.672,9.534,6828,6.605,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,Studio schools,State-funded schools,Female,137,25.8876,,C-,,36.496,44,21.8939,D+,2.273,4.545,44,2.273,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,University technical colleges (UTCs),State-funded schools,Female,364,24.4033,,D+,,48.077,168,21.7063,D+,2.976,4.167,168,4.167,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,All FE sector colleges,FE sector colleges,Male,27401,30.7129,,C,,72.654,21035,29.347,C,8.828,14.476,21033,11.154,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,All independent schools,Independent schools,Male,18482,40.0404,,B,,87.491,13992,39.8118,B,25.729,37.186,13992,31.439,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,All schools,All schools,Male,106436,33.5718,,C+,,78.47,79032,33.7261,C+,14.602,22.51,79030,19.172,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,All schools and FE sector colleges,All institutions,Male,131372,33.0821,,C+,,78.683,100424,32.7403,C+,13.342,20.752,100419,17.43,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,All state-funded schools,State-funded schools,Male,87936,32.1009,,C+,,76.583,65035,32.4175,C+,12.207,19.353,65033,16.533,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,All state-funded schools and colleges,All state-funded,Male,113014,31.8482,,C+,,77.064,86211,31.6073,C,11.344,18.106,86206,15.172,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,Converter academies - mainstream,State-funded schools,Male,57950,33.0099,,C+,,79.664,44774,33.1378,C+,13.101,20.615,44773,17.537,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,Free schools,State-funded schools,Male,766,29.6893,,C,,84.595,675,29.6148,C,7.556,13.037,675,11.852,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,Free schools 16-19,State-funded schools,Male,1401,37.4564,,B-,,87.723,1233,36.3125,B-,22.79,31.387,1233,28.792,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,Independent schools,Independent schools,Male,18436,40.0621,,B,,87.622,13966,39.8537,B,25.777,37.255,13966,31.498,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,Independent special schools,Independent schools,Male,46,24.4366,,D+,,34.783,26,17.3077,D-,0,0,26,0,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,LA maintained mainstream schools,State-funded schools,Male,17182,31.3349,,C,,74.863,12443,31.7884,C+,11.066,18.026,12442,15.311,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,Other FE sector colleges,FE sector colleges,Male,9984,26.9613,,C-,,63.802,6517,27.4487,C-,5.908,10.404,6515,7.782,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,Sixth form colleges,FE sector colleges,Male,17417,32.7285,,C+,,77.729,14518,30.1991,C,10.139,16.304,14518,12.667,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,Sponsored academies - mainstream,State-funded schools,Male,9302,27.0743,,C-,,63.019,5331,28.2386,C-,6.209,10.936,5331,9.529,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,Studio schools,State-funded schools,Male,217,25.0815,,C-,,37.327,70,21.9048,D+,4.286,4.286,70,4.286,2019,,2019
201819,Academic year,National,E92000001,England,Provisional,University technical colleges (UTCs),State-funded schools,Male,933,22.2753,,D+,,40.407,380,20.0439,D,4.474,7.368,380,7.105,2019,,2019
201718,Academic year,National,E92000001,England,Revised,All FE sector colleges,FE sector colleges,All students,76552,31.13,,C,,70.2,56604,30.46,C,8.3,14.9,56194,9.8,2018,,2018
201718,Academic year,National,E92000001,England,Revised,All independent schools,Independent schools,All students,36532,41.31,,B,,89.9,29850,41.03,B,27.5,40.5,29843,33.2,2018,,2018
201718,Academic year,National,E92000001,England,Revised,All schools,All schools,All students,232035,33.87,,C+,,78.5,172907,34.77,C+,14.5,23.3,172489,18.5,2018,,2018
201718,Academic year,National,E92000001,England,Revised,All schools and FE sector colleges,All institutions,All students,299420,33.33,,C+,,78.6,230827,33.59,C+,12.9,21.1,230124,16.2,2018,,2018
201718,Academic year,National,E92000001,England,Revised,All state-funded schools,State-funded schools,All students,195454,32.35,,C+,,76.3,143027,33.46,C+,11.8,19.7,142616,15.4,2018,,2018
201718,Academic year,National,E92000001,England,Revised,All state-funded schools and colleges,All state-funded,All students,263436,32.12,,C+,,76.9,200658,32.49,C+,10.7,18.2,199962,13.7,2018,,2018
201718,Academic year,National,E92000001,England,Revised,Converter academies - mainstream,State-funded schools,All students,125956,33.31,,C+,,79.8,96770,34.34,C+,12.9,21.4,96504,16.8,2018,,2018
201718,Academic year,National,E92000001,England,Revised,Free schools,State-funded schools,All students,1094,29.57,,C,,74.7,860,29.96,C,8.8,15.1,858,13.5,2018,,2018
201718,Academic year,National,E92000001,England,Revised,Free schools 16-19,State-funded schools,All students,1746,36.53,,B-,,82.4,1434,36.01,B-,20.4,29.9,1432,27,2018,,2018
201718,Academic year,National,E92000001,England,Revised,Independent schools,Independent schools,All students,36470,41.32,,B,,90,29817,41.05,B,27.5,40.6,29810,33.2,2018,,2018
201718,Academic year,National,E92000001,England,Revised,Independent special schools,Independent schools,All students,62,26.21,,C-,,37.1,33,19.39,D,6.1,9.1,33,9.1,2018,,2018
201718,Academic year,National,E92000001,England,Revised,LA maintained mainstream schools,State-funded schools,All students,44273,31.46,,C,,74.4,31517,32.6,C+,10.1,17.5,31445,13.5,2018,,2018
201718,Academic year,National,E92000001,England,Revised,Other FE sector colleges,FE sector colleges,All students,26517,28.06,,C-,,62.8,16918,29.23,C,6,11.5,16801,7,2018,,2018
201718,Academic year,National,E92000001,England,Revised,Sixth form colleges,FE sector colleges,All students,50035,32.68,,C+,,74.1,39686,30.99,C,9.3,16.3,39393,11,2018,,2018
201718,Academic year,National,E92000001,England,Revised,Sponsored academies - mainstream,State-funded schools,All students,20082,27.76,,C-,,62.8,11474,29.18,C,6.2,11,11412,8.1,2018,,2018
201718,Academic year,National,E92000001,England,Revised,Studio schools,State-funded schools,All students,366,21.61,,D,,31.1,134,18.86,D,1.5,3.7,132,3.8,2018,,2018
201718,Academic year,National,E92000001,England,Revised,University technical colleges (UTCs),State-funded schools,All students,1501,20.19,,D,,30.8,536,18.94,D,5.4,7.6,535,6.9,2018,,2018
201718,Academic year,National,E92000001,England,Revised,All FE sector colleges,FE sector colleges,Female,43932,31.91,,C+,,73,33254,31.18,C,7.8,14.8,32920,8.7,2018,,2018
201718,Academic year,National,E92000001,England,Revised,All independent schools,Independent schools,Female,18179,42.15,,B+,,91.5,15273,41.99,B+,28.2,42.5,15268,33.8,2018,,2018
201718,Academic year,National,E92000001,England,Revised,All schools,All schools,Female,123668,34.51,,C+,,81,94792,35.22,B-,13.4,22.8,94465,16.9,2018,,2018
201718,Academic year,National,E92000001,England,Revised,All schools and FE sector colleges,All institutions,Female,162983,33.96,,C+,,81,128776,34.06,C+,11.9,20.6,128214,14.7,2018,,2018
201718,Academic year,National,E92000001,England,Revised,All state-funded schools,State-funded schools,Female,105464,33.08,,C+,,79.2,79501,33.92,C+,10.6,19,79179,13.7,2018,,2018
201718,Academic year,National,E92000001,England,Revised,All state-funded schools and colleges,All state-funded,Female,145071,32.84,,C+,,79.5,113373,33,C+,9.7,17.6,112816,12.1,2018,,2018
201718,Academic year,National,E92000001,England,Revised,Converter academies - mainstream,State-funded schools,Female,68199,33.96,,C+,,82.3,53786,34.71,C+,11.5,20.5,53569,15,2018,,2018
201718,Academic year,National,E92000001,England,Revised,Free schools,State-funded schools,Female,491,29.27,,C,,78.2,397,29.6,C,6.8,12.1,397,10.6,2018,,2018
201718,Academic year,National,E92000001,England,Revised,Free schools 16-19,State-funded schools,Female,940,36.17,,B-,,83.3,768,35.6,B-,16.9,27.5,766,23.2,2018,,2018
201718,Academic year,National,E92000001,England,Revised,Independent schools,Independent schools,Female,18169,42.15,,B+,,91.6,15271,42,B+,28.2,42.5,15266,33.8,2018,,2018
201718,Academic year,National,E92000001,England,Revised,Independent special schools,Independent schools,Female,10,26.19,,C-,,10,2,11.67,E+,0,0,2,0,2018,,2018
201718,Academic year,National,E92000001,England,Revised,LA maintained mainstream schools,State-funded schools,Female,24173,32.31,,C+,,77.5,17683,33.26,C+,9.4,17.2,17625,12.1,2018,,2018
201718,Academic year,National,E92000001,England,Revised,Other FE sector colleges,FE sector colleges,Female,15533,28.61,,C,,65.2,10170,29.58,C,5.3,11,10080,5.6,2018,,2018
201718,Academic year,National,E92000001,England,Revised,Sixth form colleges,FE sector colleges,Female,28399,33.63,,C+,,77.2,23084,31.88,C+,8.9,16.4,22840,10.1,2018,,2018
201718,Academic year,National,E92000001,England,Revised,Sponsored academies - mainstream,State-funded schools,Female,10846,28.74,,C,,66.3,6452,29.84,C,5.5,10.4,6411,6.7,2018,,2018
201718,Academic year,National,E92000001,England,Revised,Studio schools,State-funded schools,Female,125,24,,D+,,33.6,53,20.25,D,0,3.8,53,3.8,2018,,2018
201718,Academic year,National,E92000001,England,Revised,University technical colleges (UTCs),State-funded schools,Female,438,20.72,,D,,36.3,196,19.54,D,5.6,8.2,196,6.6,2018,,2018
201718,Academic year,National,E92000001,England,Revised,All FE sector colleges,FE sector colleges,Male,32619,30.04,,C,,66.5,23350,29.44,C,9.1,15,23274,11.3,2018,,2018
201718,Academic year,National,E92000001,England,Revised,All independent schools,Independent schools,Male,18349,40.46,,B,,88.3,14576,40.02,B,26.7,38.4,14574,32.6,2018,,2018
201718,Academic year,National,E92000001,England,Revised,All schools,All schools,Male,108363,33.1,,C+,,75.6,78114,34.22,C+,15.8,23.9,78023,20.3,2018,,2018
201718,Academic year,National,E92000001,England,Revised,All schools and FE sector colleges,All institutions,Male,136433,32.56,,C+,,75.8,102049,33,C+,14.2,21.7,101908,18.1,2018,,2018
201718,Academic year,National,E92000001,England,Revised,All state-funded schools,State-funded schools,Male,89990,31.46,,C,,73,63526,32.89,C+,13.3,20.5,63437,17.5,2018,,2018
201718,Academic year,National,E92000001,England,Revised,All state-funded schools and colleges,All state-funded,Male,118364,31.21,,C,,73.6,87285,31.84,C+,12.1,18.9,87146,15.7,2018,,2018
201718,Academic year,National,E92000001,England,Revised,Converter academies - mainstream,State-funded schools,Male,57757,32.52,,C+,,76.9,42984,33.88,C+,14.6,22.4,42935,19,2018,,2018
201718,Academic year,National,E92000001,England,Revised,Free schools,State-funded schools,Male,603,29.82,,C,,71.8,463,30.27,C,10.6,17.7,461,16.1,2018,,2018
201718,Academic year,National,E92000001,England,Revised,Free schools 16-19,State-funded schools,Male,806,36.94,,B-,,81.3,666,36.49,B-,24.5,32.7,666,31.4,2018,,2018
201718,Academic year,National,E92000001,England,Revised,Independent schools,Independent schools,Male,18297,40.49,,B,,88.4,14545,40.06,B,26.8,38.5,14543,32.6,2018,,2018
201718,Academic year,National,E92000001,England,Revised,Independent special schools,Independent schools,Male,52,26.21,,C-,,42.3,31,19.89,D,6.5,9.7,31,9.7,2018,,2018
201718,Academic year,National,E92000001,England,Revised,LA maintained mainstream schools,State-funded schools,Male,20100,30.4,,C,,70.8,13834,31.77,C+,11.1,17.9,13820,15.2,2018,,2018
201718,Academic year,National,E92000001,England,Revised,Other FE sector colleges,FE sector colleges,Male,10984,27.26,,C-,,59.3,6748,28.7,C,7.1,12.3,6721,9.2,2018,,2018
201718,Academic year,National,E92000001,England,Revised,Sixth form colleges,FE sector colleges,Male,21635,31.39,,C,,70.1,16602,29.74,C,9.9,16.1,16553,12.2,2018,,2018
201718,Academic year,National,E92000001,England,Revised,Sponsored academies - mainstream,State-funded schools,Male,9236,26.54,,C-,,58.8,5022,28.34,C,7.1,11.6,5001,9.7,2018,,2018
201718,Academic year,National,E92000001,England,Revised,Studio schools,State-funded schools,Male,241,20.34,,D,,29.9,81,17.94,D-,2.5,3.7,79,3.8,2018,,2018
201718,Academic year,National,E92000001,England,Revised,University technical colleges (UTCs),State-funded schools,Male,1063,19.94,,D,,28.6,340,18.6,D,5.3,7.4,339,7.1,2018,,2018
201617,Academic year,National,E92000001,England,Revised,All FE sector colleges,FE sector colleges,All students,91729,30.03,,C,,70.5,57682,32.94,C+,9.1,16.4,57343,10.5,2017,,2017
201617,Academic year,National,E92000001,England,Revised,All independent schools,Independent schools,All students,38168,40.69,,B,,90,31780,41.33,B,27.4,41.1,31722,33.3,2017,,2017
201617,Academic year,National,E92000001,England,Revised,All schools,All schools,All students,235654,33.07,,C+,,77,163572,35.99,B-,15,24.6,162662,19.4,2017,,2017
201617,Academic year,National,E92000001,England,Revised,All schools and FE sector colleges,All institutions,All students,316202,32.39,,C+,,77.4,222084,35.12,B-,13.4,22.4,220963,17,2017,,2017
201617,Academic year,National,E92000001,England,Revised,All state-funded schools,State-funded schools,All students,197423,31.45,,C,,74.4,131773,34.71,C+,12,20.7,130921,16,2017,,2017
201617,Academic year,National,E92000001,England,Revised,All state-funded schools and colleges,All state-funded,All students,278897,31.13,,C,,75.4,189996,34.09,C+,11.1,19.3,188931,14.3,2017,,2017
201617,Academic year,National,E92000001,England,Revised,Converter academies - mainstream,State-funded schools,All students,119639,32.55,,C+,,79,85950,35.53,B-,13.3,22.5,85542,17.5,2017,,2017
201617,Academic year,National,E92000001,England,Revised,Free schools,State-funded schools,All students,947,28.6,,C,,70.2,664,31.43,C,6.9,14.9,663,13.3,2017,,2017
201617,Academic year,National,E92000001,England,Revised,Free schools 16-19,State-funded schools,All students,1654,34.94,,C+,,78.8,1234,37.06,B-,20.1,29.8,1233,26.3,2017,,2017
201617,Academic year,National,E92000001,England,Revised,Independent schools,Independent schools,All students,38110,40.7,,B,,90.1,31761,41.34,B,27.4,41.2,31704,33.3,2017,,2017
201617,Academic year,National,E92000001,England,Revised,Independent special schools,Independent schools,All students,58,26.44,,C-,,31,19,22.46,D+,5.3,10.5,18,11.1,2017,,2017
201617,Academic year,National,E92000001,England,Revised,LA maintained mainstream schools,State-funded schools,All students,51824,30.38,,C,,71.8,33110,33.82,C+,10.3,18.4,32869,14.1,2017,,2017
201617,Academic year,National,E92000001,England,Revised,Other FE sector colleges,FE sector colleges,All students,28120,26.99,,C-,,61.1,15310,30.24,C,5.7,10.9,15236,6.3,2017,,2017
201617,Academic year,National,E92000001,England,Revised,Sixth form colleges,FE sector colleges,All students,63609,31.24,,C,,74.6,42372,33.92,C+,10.3,18.3,42107,12,2017,,2017
201617,Academic year,National,E92000001,England,Revised,Sponsored academies - mainstream,State-funded schools,All students,21029,27,,C-,,58.8,10100,30.85,C,5.9,11.9,9908,8.7,2017,,2017
201617,Academic year,National,E92000001,England,Revised,Studio schools,State-funded schools,All students,349,23.41,,D+,,40.1,111,26.76,C-,5.4,9.9,110,5.5,2017,,2017
201617,Academic year,National,E92000001,England,Revised,University technical colleges (UTCs),State-funded schools,All students,1525,21.16,,D,,32.9,376,25.06,C-,6.4,9.8,373,9.7,2017,,2017
201617,Academic year,National,E92000001,England,Revised,All FE sector colleges,FE sector colleges,Female,52365,30.93,,C,,73.3,34152,33.51,C+,8.3,15.9,33899,9,2017,,2017
201617,Academic year,National,E92000001,England,Revised,All independent schools,Independent schools,Female,18999,41.34,,B,,91.7,16271,41.98,B+,27.3,42.3,16235,33,2017,,2017
201617,Academic year,National,E92000001,England,Revised,All schools,All schools,Female,124785,33.83,,C+,,79.9,89904,36.36,B-,13.8,24,89300,17.6,2017,,2017
201617,Academic year,National,E92000001,England,Revised,All schools and FE sector colleges,All institutions,Female,171468,33.12,,C+,,80.1,124543,35.5,B-,12.2,21.7,123789,15.1,2017,,2017
201617,Academic year,National,E92000001,England,Revised,All state-funded schools,State-funded schools,Female,105770,32.35,,C+,,77.8,73631,35.12,B-,10.8,20,73063,14.1,2017,,2017
201617,Academic year,National,E92000001,England,Revised,All state-funded schools and colleges,All state-funded,Female,152943,32,,C+,,78.4,108148,34.54,C+,10,18.6,107429,12.4,2017,,2017
201617,Academic year,National,E92000001,England,Revised,Converter academies - mainstream,State-funded schools,Female,64384,33.39,,C+,,81.9,47939,35.95,B-,12.1,21.9,47663,15.7,2017,,2017
201617,Academic year,National,E92000001,England,Revised,Free schools,State-funded schools,Female,421,29.21,,C,,78.9,334,31.26,C,6.3,14.1,334,11.7,2017,,2017
201617,Academic year,National,E92000001,England,Revised,Free schools 16-19,State-funded schools,Female,903,34.85,,C+,,79.7,668,36.91,B-,16.9,27.4,667,22.2,2017,,2017
201617,Academic year,National,E92000001,England,Revised,Independent schools,Independent schools,Female,18988,41.35,,B,,91.8,x,x,x,27.3,42.3,x,x,2017,,2017
201617,Academic year,National,E92000001,England,Revised,Independent special schools,Independent schools,Female,11,25.24,,C-,,9.1,x,x,x,0,0,x,x,2017,,2017
201617,Academic year,National,E92000001,England,Revised,LA maintained mainstream schools,State-funded schools,Female,28010,31.29,,C,,75,18644,34.24,C+,9,17.5,18475,12.2,2017,,2017
201617,Academic year,National,E92000001,England,Revised,Other FE sector colleges,FE sector colleges,Female,16368,27.71,,C-,,63.9,9306,30.55,C,4.6,9.7,9251,4.6,2017,,2017
201617,Academic year,National,E92000001,England,Revised,Sixth form colleges,FE sector colleges,Female,35997,32.24,,C+,,77.6,24846,34.62,C+,9.7,18.3,24648,10.6,2017,,2017
201617,Academic year,National,E92000001,England,Revised,Sponsored academies - mainstream,State-funded schools,Female,11242,28.09,,C-,,63.1,5731,31.3,C,5,11.1,5613,6.8,2017,,2017
201617,Academic year,National,E92000001,England,Revised,Studio schools,State-funded schools,Female,145,26,,C-,,43.4,52,27.37,C-,9.6,13.5,51,7.8,2017,,2017
201617,Academic year,National,E92000001,England,Revised,University technical colleges (UTCs),State-funded schools,Female,400,22.6,,D+,,41.3,117,24.93,D+,3.4,6.8,117,6,2017,,2017
201617,Academic year,National,E92000001,England,Revised,All FE sector colleges,FE sector colleges,Male,39364,28.8,,C,,66.7,23530,32.11,C+,10.2,17,23444,12.7,2017,,2017
201617,Academic year,National,E92000001,England,Revised,All independent schools,Independent schools,Male,19169,40.01,,B,,88.3,15509,40.64,B,27.6,39.9,15487,33.5,2017,,2017
201617,Academic year,National,E92000001,England,Revised,All schools,All schools,Male,110869,32.18,,C+,,73.7,73668,35.54,B-,16.5,25.4,73362,21.6,2017,,2017
201617,Academic year,National,E92000001,England,Revised,All schools and FE sector colleges,All institutions,Male,144734,31.49,,C,,74.2,97541,34.63,C+,14.9,23.3,97174,19.3,2017,,2017
201617,Academic year,National,E92000001,England,Revised,All state-funded schools,State-funded schools,Male,91653,30.37,,C,,70.6,58142,34.18,C+,13.5,21.5,57858,18.4,2017,,2017
201617,Academic year,National,E92000001,England,Revised,All state-funded schools and colleges,All state-funded,Male,125954,30.05,,C,,71.8,81848,33.5,C+,12.5,20.1,81502,16.6,2017,,2017
201617,Academic year,National,E92000001,England,Revised,Converter academies - mainstream,State-funded schools,Male,55255,31.54,,C,,75.7,38011,35.01,B-,14.8,23.3,37879,19.8,2017,,2017
201617,Academic year,National,E92000001,England,Revised,Free schools,State-funded schools,Male,526,28.04,,C-,,63.3,330,31.61,C,7.6,15.8,329,14.9,2017,,2017
201617,Academic year,National,E92000001,England,Revised,Free schools 16-19,State-funded schools,Male,751,35.05,,B-,,77.6,566,37.24,B-,23.9,32.7,566,31.1,2017,,2017
201617,Academic year,National,E92000001,England,Revised,Independent schools,Independent schools,Male,19122,40.03,,B,,88.4,x,x,x,27.6,40,x,x,2017,,2017
201617,Academic year,National,E92000001,England,Revised,Independent special schools,Independent schools,Male,47,26.6,,C-,,36.2,x,x,x,5.9,11.8,x,x,2017,,2017
201617,Academic year,National,E92000001,England,Revised,LA maintained mainstream schools,State-funded schools,Male,23814,29.25,,C,,68.1,14466,33.28,C+,12,19.5,14394,16.4,2017,,2017
201617,Academic year,National,E92000001,England,Revised,Other FE sector colleges,FE sector colleges,Male,11752,25.95,,C-,,57.1,6004,29.76,C,7.4,12.6,5985,9.1,2017,,2017
201617,Academic year,National,E92000001,England,Revised,Sixth form colleges,FE sector colleges,Male,27612,29.88,,C,,70.7,17526,32.91,C+,11.1,18.5,17459,13.9,2017,,2017
201617,Academic year,National,E92000001,England,Revised,Sponsored academies - mainstream,State-funded schools,Male,9787,25.68,,C-,,53.9,4369,30.26,C,7.1,12.9,4295,11.1,2017,,2017
201617,Academic year,National,E92000001,England,Revised,Studio schools,State-funded schools,Male,204,21.52,,D,,37.7,59,26.21,C-,1.7,6.8,59,3.4,2017,,2017
201617,Academic year,National,E92000001,England,Revised,University technical colleges (UTCs),State-funded schools,Male,1125,20.56,,D,,30,259,25.12,C-,7.7,11.2,256,11.3,2017,,2017
201516,Academic year,National,E92000001,England,Revised,All FE sector colleges,FE sector colleges,All students,94459,29.21,,C,,,59893,32.56,C+,8.3,15.6,59492,10,2016,,2016
201516,Academic year,National,E92000001,England,Revised,All independent schools,Independent schools,All students,37867,40.76,,B,,,32327,42.04,B+,29.5,43.6,32240,35.7,2016,,2016
201516,Academic year,National,E92000001,England,Revised,All schools,All schools,All students,239749,32.58,,C+,,,165263,35.91,B-,15,24.5,163955,19.6,2016,,2016
201516,Academic year,National,E92000001,England,Revised,All schools and FE sector colleges,All institutions,All students,323273,31.79,,C+,,,225732,34.97,C+,13.2,22.1,224100,17,2016,,2016
